# Filename: results.csv
Iteration,Best Fitness,Mean Fitness
0,25483.888580978106,34492.50047570782
1,25465.80053443084,40643.20933319397
2,25465.800534430833,37692.430313440746
3,25465.800534430837,35119.379958797814
4,25434.918404427273,50159.83129467279
5,25434.918404427273,34660.04345484551
6,25465.800534430833,44051.38226839217
7,25434.918404427273,34652.98626987468
8,25434.918404427273,42896.336324054195
9,25465.800534430833,42664.29765550225
10,25465.800534430833,59047.754677427954
11,25434.918404427273,49128.30951204492
12,25465.800534430833,42418.36554090285
13,25465.800534430833,34627.243830376734
14,25465.800534430833,44752.41974159864
15,25465.800534430833,47788.50527704123
16,25434.918404427273,36204.6652919613
17,25465.800534430837,36594.55668060329
18,25465.800534430833,49948.13420148697
19,25460.479314420187,34024.116731758615
20,25434.918404427273,41686.824550367644
21,25465.800534430833,50332.46463174622
22,25434.918404427277,53888.640534339625
23,25434.918404427273,36717.329945709804
24,25434.918404427273,33255.82273699658
25,25465.800534430833,40188.97660171543
26,25434.91840442727,34438.736429250996
27,25465.800534430833,40513.674417204915
28,25465.800534430837,44030.61316933592
29,25465.800534430833,34681.07345514344
30,25465.800534430833,35026.63574484513
31,25465.800534430833,44496.05000783307
32,25434.918404427273,36179.03980826899
33,25434.918404427273,41757.883930455995
34,25434.918404427277,38349.1554670406
35,25434.918404427273,41419.30132751427
36,25465.800534430833,34599.221953731845
37,25434.918404427277,43765.950886805826
38,25434.918404427273,46904.730823278966
39,25465.800534430833,50688.52974661369
40,25465.800534430833,44153.10021218537
41,25465.800534430833,42301.6715232685
42,25465.800534430837,33264.78057866219
43,25465.800534430837,41053.54518612406
44,25434.918404427273,35630.99891471261
45,25465.800534430833,42458.25095217267
46,25459.2647795094,42286.80291071855
47,25465.800534430833,35228.417812224245
48,25465.800534430833,48522.32258231934
49,25434.918404427273,48703.49660305411
50,25465.800534430833,42174.206561493294
51,25434.91840442727,35171.50665182048
52,25465.800534430833,35001.05615579531
53,25465.800534430837,39223.81002408189
54,25465.800534430833,42040.82298985498
55,25465.800534430833,48722.247851418
56,25434.918404427273,42522.48621809967
57,25465.800534430837,35046.632376580834
58,25434.918404427277,41956.611701952665
59,25434.918404427273,40724.737249620885
60,25434.918404427273,38893.01911032157
61,25465.800534430833,34402.84367306889
62,25465.800534430833,34322.71873698473
63,25465.800534430833,45718.214169544655
64,25465.800534430833,35513.43054915798
65,25465.800534430833,34511.53215758661
66,25434.918404427277,42709.42728925265
67,25434.918404427273,50547.13437590704
68,25434.918404427277,48320.68283692961
69,25434.918404427273,50650.18644361952
70,25434.918404427273,34222.44555190646
