# Filename: results.csv
Iteration,Best Fitness,Mean Fitness
0,172326.428682638,182005.51205033052
1,189106.19676762368,196386.54908817058
2,179709.28201245677,192047.87726115718
3,173144.04540892094,182925.9662383885
4,186873.24901426848,208097.1933226617
0,175541.3622377791,187863.97024892844
1,168385.16160548717,177616.6131649235
2,172811.75686682333,180284.81870681743
3,173259.94322162808,188460.83592051495
4,192362.6164749983,198635.7394927756
0,172545.93432910758,199064.40814668327
1,178956.32152830137,203091.50862279252
2,181243.3657201528,215011.8152337409
3,189490.44832319414,209910.1241403297
4,178242.31023816526,210101.97608385116
